,url,scene_tag,start_frame,end_frame,mean_frame
124,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T150000Z.mov,d2_p2_z0,4001,4211,4106
125,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T150000Z.mov,d2_p2_z0,4271,4351,4311
126,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T180000Z.mov,d2_p2_z0,2521,2611,2566
127,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T180000Z.mov,d2_p2_z0,2661,2771,2716
128,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T180000Z.mov,d2_p2_z0,3991,4161,4076
129,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T180000Z.mov,d2_p2_z0,4211,4341,4276
130,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T210000Z.mov,d2_p2_z0,2471,2561,2516
131,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T210000Z.mov,d2_p2_z0,2611,2721,2666
132,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T210000Z.mov,d2_p2_z0,3941,4111,4026
133,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T210000Z.mov,d2_p2_z0,4161,4281,4221
134,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T000000Z.mov,d2_p2_z0,2531,2781,2656
135,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T000000Z.mov,d2_p2_z0,4001,4201,4101
136,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T000000Z.mov,d2_p2_z0,4271,4351,4311
137,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T030000Z.mov,d2_p2_z0,2531,2571,2551
138,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T030000Z.mov,d2_p2_z0,2671,2781,2726
139,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T030000Z.mov,d2_p2_z0,4001,4211,4106
140,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T030000Z.mov,d2_p2_z0,4271,4351,4311
141,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T060000Z.mov,d2_p2_z0,2471,2561,2516
142,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T060000Z.mov,d2_p2_z0,2621,2731,2676
143,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T060000Z.mov,d2_p2_z0,3951,4161,4056
144,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T060000Z.mov,d2_p2_z0,4221,4311,4266
145,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T090000Z.mov,d2_p2_z0,2681,2791,2736
146,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T090000Z.mov,d2_p2_z0,4011,4191,4101
147,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T090000Z.mov,d2_p2_z0,4301,4371,4336
148,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T120000Z.mov,d2_p2_z0,2531,2571,2551
149,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T120000Z.mov,d2_p2_z0,2711,2811,2761
150,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T120000Z.mov,d2_p2_z0,4031,4241,4136
151,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T120000Z.mov,d2_p2_z0,4301,4391,4346
152,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T150000Z.mov,d2_p2_z0,2661,2771,2716
153,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T150000Z.mov,d2_p2_z0,3991,4191,4091
154,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T150000Z.mov,d2_p2_z0,4301,4341,4321
155,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T180000Z.mov,d2_p2_z0,2681,2791,2736
156,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T180000Z.mov,d2_p2_z0,4011,4181,4096
